Sponsors,State,Number,Count
Cyndi Buchheit-Courtway,Missouri,['HB916'],1
Cyndy Jacobsen,Washington,['HB1233'],1
Cynthia Lummis,US,['SR53'],1
Cynthia Roe,Oklahoma,['HB1449'],1
Cyrus Javadi,Oregon,['HB3137'],1
Cyrus Western,Wyoming,['HB0187'],1
D. J. Swearingen,Ohio,"[""HB68'"", ""'HB8""]",2
DJ Johnson,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
Dale DeVon,Indiana,"[""HB1407'"", ""'HB1220""]",2
Dale Hawkins,Idaho,['H0071'],1
Dallas Harris,Nevada,['SB302'],1
Dalton Banks,Wyoming,['SF0111'],1
Dan Bishop,US,['HB429'],1
Dan Crenshaw,US,"[""HB734'"", ""'HB5""]",2
Dan Daley,Florida,['H1269'],1
Dan Dockstader,Wyoming,"[""SF0117'"", ""'SF0133""]",2
Dan Eubanks,Mississippi,"[""HB1258'"", ""'HB1125""]",2
Dan Howell,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030'"", ""'HB0878""]",4
Dan Laursen,Wyoming,"[""SF0144'"", ""'SF0172""]",2
Dan Meuser,US,['HB5'],1
Dan Newhouse,US,['HB5'],1
Dan Ruby,North Dakota,"[""HB1332'"", ""'HB1297'"", ""'HB1333""]",3
Dan Sullivan,Arkansas,"[""HB1156'"", ""'SB294'"", ""'SB43""]",3
Dana Criswell,Mississippi,['HB1099'],1
Daniel Elliott,Kentucky,['HB470'],1
Daniel Fister,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
Daniel Foreman,Idaho,['H0071'],1
Daniel Gibson,South Carolina,"[""H3551'"", ""'H3551""]",2
Daniel Innis,New Hampshire,['SB272'],1
Daniel McCay,Utah,['SB0093'],1
Daniel Singh,Wyoming,['SF0172'],1
Daniel Webster,US,['HB734'],1
Danny Bentley,Kentucky,"[""HB177'"", ""'HB30""]",2
Danny Carroll,Kentucky,['SB150'],1
Danny Verdin,South Carolina,"[""S0274'"", ""'S0276'"", ""'S0364'"", ""'S0623'"", ""'S0624""]",5
Danny Watson,Arkansas,"[""SB294'"", ""'HB1615""]",2
Danny Williams,Oklahoma,"[""HB2546'"", ""'HB1781""]",2
Darin LaHood,US,"[""HB734'"", ""'HB5""]",2
Darlene Taylor,Georgia,['HB653'],1
Darrell Kick,Ohio,"[""HB68'"", ""'HB6""]",2
