,State,Abbreviation,Number,URL
242,South Carolina,SC,H3197,https://legiscan.com/SC/bill/H3197/2023
243,South Carolina,SC,H3485,https://legiscan.com/SC/bill/H3485/2023
244,South Carolina,SC,H3551,https://legiscan.com/SC/bill/H3551/2023
245,South Carolina,SC,H3551,https://legiscan.com/SC/bill/H3551/2023
246,South Carolina,SC,H3564,https://legiscan.com/SC/bill/H3564/2023
247,South Carolina,SC,H3565,https://legiscan.com/SC/bill/H3565/2023
248,South Carolina,SC,H3611,https://legiscan.com/SC/bill/H3611/2023
249,South Carolina,SC,H3616,https://legiscan.com/SC/bill/H3616/2023
250,South Carolina,SC,H3730,https://legiscan.com/SC/bill/H3730/2023
251,South Carolina,SC,H3827,https://legiscan.com/SC/bill/H3827/2023
252,South Carolina,SC,S0234,https://legiscan.com/SC/bill/S0234/2023
253,South Carolina,SC,S0243,https://legiscan.com/SC/bill/S0243/2023
254,South Carolina,SC,S0274,https://legiscan.com/SC/bill/S0274/2023
255,South Carolina,SC,S0276,https://legiscan.com/SC/bill/S0276/2023
256,South Carolina,SC,S0332,https://legiscan.com/SC/bill/S0332/2023
257,South Carolina,SC,S0364,https://legiscan.com/SC/bill/S0364/2023
258,South Carolina,SC,S0424,https://legiscan.com/SC/bill/S0424/2023
259,South Carolina,SC,H3728,https://legiscan.com/SC/bill/H3728/2023
260,South Dakota,SD,HB1080,https://legiscan.com/SD/bill/HB1080/2023
261,South Dakota,SD,HB1116,https://legiscan.com/SD/bill/HB1116/2023
262,South Dakota,SD,HB1125,https://legiscan.com/SD/bill/HB1125/2023
263,South Dakota,SD,HB1208,https://legiscan.com/SD/bill/HB1208/2023
264,South Dakota,SD,HCR6008,https://legiscan.com/SD/bill/HCR6008/2023
265,Tennessee,TN,HB0001,https://legiscan.com/TN/bill/HB0001/2023
266,Tennessee,TN,HB0009,https://legiscan.com/TN/bill/HB0009/2023
267,Tennessee,TN,HB0239,https://legiscan.com/TN/bill/HB0239/2023
268,Tennessee,TN,HB0306,https://legiscan.com/TN/bill/HB0306/2023
269,Tennessee,TN,HB0571,https://legiscan.com/TN/bill/HB0571/2023
270,Tennessee,TN,HB0878,https://legiscan.com/TN/bill/HB0878/2023
271,Tennessee,TN,HB1215,https://legiscan.com/TN/bill/HB1215/2023
272,Tennessee,TN,HB1269,https://legiscan.com/TN/bill/HB1269/2023
273,Tennessee,TN,HB1339,https://legiscan.com/TN/bill/HB1339/2023
274,Tennessee,TN,HB1378,https://legiscan.com/TN/bill/HB1378/2023
275,Tennessee,TN,HB1414,https://legiscan.com/TN/bill/HB1414/2023
276,Tennessee,TN,SB0001,https://legiscan.com/TN/bill/SB0001/2023
277,Tennessee,TN,SB0003,https://legiscan.com/TN/bill/SB0003/2023
278,Tennessee,TN,SB0005,https://legiscan.com/TN/bill/SB0005/2023
279,Tennessee,TN,SB0466,https://legiscan.com/TN/bill/SB0466/2023
280,Tennessee,TN,SB0596,https://legiscan.com/TN/bill/SB0596/2023
281,Tennessee,TN,SB0603,https://legiscan.com/TN/bill/SB0603/2023
282,Tennessee,TN,SB0620,https://legiscan.com/TN/bill/SB0620/2023
283,Tennessee,TN,SB1237,https://legiscan.com/TN/bill/SB1237/2023
284,Tennessee,TN,SB1440,https://legiscan.com/TN/bill/SB1440/2023
285,Texas,TX,HB1029,https://legiscan.com/TX/bill/HB1029/2023
286,Texas,TX,HB1155,https://legiscan.com/TX/bill/HB1155/2023
287,Texas,TX,HB122,https://legiscan.com/TX/bill/HB122/2023
288,Texas,TX,HB1266,https://legiscan.com/TX/bill/HB1266/2023
289,Texas,TX,HB1532,https://legiscan.com/TX/bill/HB1532/2023
290,Texas,TX,HB1541,https://legiscan.com/TX/bill/HB1541/2023
291,Texas,TX,HB1686,https://legiscan.com/TX/bill/HB1686/2023
292,Texas,TX,HB1752,https://legiscan.com/TX/bill/HB1752/2023
293,Texas,TX,HB1952,https://legiscan.com/TX/bill/HB1952/2023
294,Texas,TX,HB2116,https://legiscan.com/TX/bill/HB2116/2023
295,Texas,TX,HB23,https://legiscan.com/TX/bill/HB23/2023
