,State,Abbreviation,Number,URL,Bill ID,Doc ID,Bill Text
258,South Carolina,SC,H3728,https://legiscan.com/SC/bill/H3728/2023,1665907,,
259,South Dakota,SD,HB1080,https://legiscan.com/SD/bill/HB1080/2023,1660616,,
260,South Dakota,SD,HB1116,https://legiscan.com/SD/bill/HB1116/2023,1677342,,
261,South Dakota,SD,HB1125,https://legiscan.com/SD/bill/HB1125/2023,1677723,,
262,South Dakota,SD,HB1208,https://legiscan.com/SD/bill/HB1208/2023,1689363,,
263,South Dakota,SD,HCR6008,https://legiscan.com/SD/bill/HCR6008/2023,1672467,,
264,Tennessee,TN,HB0001,https://legiscan.com/TN/bill/HB0001/2023,1631977,,
265,Tennessee,TN,HB0009,https://legiscan.com/TN/bill/HB0009/2023,1637133,,
266,Tennessee,TN,HB0239,https://legiscan.com/TN/bill/HB0239/2023,1661869,,
267,Tennessee,TN,HB0306,https://legiscan.com/TN/bill/HB0306/2023,1669292,,
268,Tennessee,TN,HB0571,https://legiscan.com/TN/bill/HB0571/2023,1681124,,
269,Tennessee,TN,HB0878,https://legiscan.com/TN/bill/HB0878/2023,1686636,,
270,Tennessee,TN,HB1215,https://legiscan.com/TN/bill/HB1215/2023,1688331,,
271,Tennessee,TN,HB1269,https://legiscan.com/TN/bill/HB1269/2023,1688211,,
272,Tennessee,TN,HB1339,https://legiscan.com/TN/bill/HB1339/2023,1688082,,
273,Tennessee,TN,HB1378,https://legiscan.com/TN/bill/HB1378/2023,1688001,,
274,Tennessee,TN,HB1414,https://legiscan.com/TN/bill/HB1414/2023,1688214,,
275,Tennessee,TN,SB0001,https://legiscan.com/TN/bill/SB0001/2023,1631978,,
276,Tennessee,TN,SB0003,https://legiscan.com/TN/bill/SB0003/2023,1631974,,
277,Tennessee,TN,SB0005,https://legiscan.com/TN/bill/SB0005/2023,1633360,,
278,Tennessee,TN,SB0466,https://legiscan.com/TN/bill/SB0466/2023,1679613,,
279,Tennessee,TN,SB0596,https://legiscan.com/TN/bill/SB0596/2023,1681989,,
280,Tennessee,TN,SB0603,https://legiscan.com/TN/bill/SB0603/2023,1680965,,
281,Tennessee,TN,SB0620,https://legiscan.com/TN/bill/SB0620/2023,1682053,,
