,State,Abbreviation,Number,URL,Bill ID,Sponsors
106,Mississippi,MS,HB456,https://legiscan.com/MS/bill/HB456/2023,1657158,"['Steve Massengill', 'Brady Williamson', 'Jon Lancaster']"
107,Mississippi,MS,HB509,https://legiscan.com/MS/bill/HB509/2023,1658471,['Jill Ford']
108,Mississippi,MS,HB576,https://legiscan.com/MS/bill/HB576/2023,1660114,"['Stacey Hobgood-Wilkes', 'Brady Williamson']"
109,Mississippi,MS,SB2076,https://legiscan.com/MS/bill/SB2076/2023,1649395,['Angela Burks Hill']
110,Mississippi,MS,SB2760,https://legiscan.com/MS/bill/SB2760/2023,1672562,"['Angela Burks Hill', 'Scott DeLano', 'Jeff Tate', 'Joseph Seymour', 'Neil Whaley', 'Kathy Chism', 'Charles Younger', 'Joey Fillingane', 'Chris Caughman', 'Philip Moran', 'Tyler McCaughn', 'Benjamin Suber', 'Jason Barrett', 'Jennifer Branning', 'Joel Carter', 'Michael McLendon', 'Bart Williams', 'Jeremy England', 'Lydia Chassaniol', 'Dennis DeBar', 'Mike Thompson', 'Walter Michel', 'Melanie Sojourner', 'Chris McDaniel', 'Kevin Blackwell']"
111,Mississippi,MS,SB2763,https://legiscan.com/MS/bill/SB2763/2023,1672706,['Angela Burks Hill']
112,Mississippi,MS,SB2764,https://legiscan.com/MS/bill/SB2764/2023,1673066,['Chris McDaniel']
113,Mississippi,MS,SB2765,https://legiscan.com/MS/bill/SB2765/2023,1672927,"['Angela Burks Hill', 'Joseph Seymour', 'Kathy Chism']"
114,Mississippi,MS,SB2770,https://legiscan.com/MS/bill/SB2770/2023,1673057,"['Jeff Tate', 'Angela Burks Hill']"
115,Mississippi,MS,SB2773,https://legiscan.com/MS/bill/SB2773/2023,1672862,"['Angela Burks Hill', 'Jennifer Branning']"
116,Mississippi,MS,SB2820,https://legiscan.com/MS/bill/SB2820/2023,1673713,['Angela Burks Hill']
117,Mississippi,MS,SB2861,https://legiscan.com/MS/bill/SB2861/2023,1673757,"['Melanie Sojourner', 'Kathy Chism', 'Chris McDaniel']"
118,Mississippi,MS,SB2864,https://legiscan.com/MS/bill/SB2864/2023,1673543,"['Melanie Sojourner', 'Kathy Chism', 'Chris McDaniel']"
119,Missouri,MO,HB137,https://legiscan.com/MO/bill/HB137/2023,1634716,['Brad Hudson']
120,Missouri,MO,HB170,https://legiscan.com/MO/bill/HB170/2023,1634841,['Brian Seitz']
121,Missouri,MO,HB183,https://legiscan.com/MO/bill/HB183/2023,1634572,['Jamie Burger']
122,Missouri,MO,HB192,https://legiscan.com/MO/bill/HB192/2023,1634595,['Ed Lewis']
123,Missouri,MO,HB337,https://legiscan.com/MO/bill/HB337/2023,1634768,['Bennie Cook']
124,Missouri,MO,HB419,https://legiscan.com/MO/bill/HB419/2023,1640339,['Brad Hudson']
125,Missouri,MO,HB463,https://legiscan.com/MO/bill/HB463/2023,1640281,['Mazzie Boyd']
126,Missouri,MO,HB498,https://legiscan.com/MO/bill/HB498/2023,1640345,['Mazzie Boyd']
127,Missouri,MO,HB540,https://legiscan.com/MO/bill/HB540/2023,1642575,['Justin Sparks']
128,Missouri,MO,HB634,https://legiscan.com/MO/bill/HB634/2023,1642886,['Ann Kelley']
129,Missouri,MO,HB916,https://legiscan.com/MO/bill/HB916/2023,1675866,['Cyndi Buchheit-Courtway']
130,Missouri,MO,SB134,https://legiscan.com/MO/bill/SB134/2023,1634983,['Mike Moon']
131,Missouri,MO,SB14,https://legiscan.com/MO/bill/SB14/2023,1635044,['Mike Cierpiot']
132,Missouri,MO,SB164,https://legiscan.com/MO/bill/SB164/2023,1635148,['Jill Carter']
133,Missouri,MO,SB165,https://legiscan.com/MO/bill/SB165/2023,1635152,['Jill Carter']
134,Missouri,MO,SB2,https://legiscan.com/MO/bill/SB2/2023,1635118,['Denny Hoskins']
135,Missouri,MO,SB236,https://legiscan.com/MO/bill/SB236/2023,1634951,['Denny Hoskins']
136,Missouri,MO,SB281,https://legiscan.com/MO/bill/SB281/2023,1635035,['William Eigel']
137,Missouri,MO,SB29,https://legiscan.com/MO/bill/SB29/2023,1635010,['Tony Luetkemeyer']
138,Missouri,MO,SB377,https://legiscan.com/MO/bill/SB377/2023,1640406,['Mary Coleman']
139,Missouri,MO,SB39,https://legiscan.com/MO/bill/SB39/2023,1635120,"['Holly Thompson Rehder', 'Mike Moon', 'Jill Carter', 'Ben Brown', 'Rick Brattin', 'Denny Hoskins']"
140,Missouri,MO,SB390,https://legiscan.com/MO/bill/SB390/2023,1640400,['Rick Brattin']
