Sponsors,State,Number
Earl Carter,US,"['HB734', 'HR115', 'HB5']"
Ed  Diehl,Oregon,"['HB2186', 'HB2477', 'HB3137']"
Ed Butler,Tennessee,"['HB0001', 'HB0009', 'HB0030', 'HB0878', 'HB0571']"
Ed Charbonneau,Indiana,['SB0480']
Ed Lewis,Missouri,['HB192']
Ed Setzler,Georgia,"['SB140', 'SB141']"
Ed Thompson,Texas,"['HB1686', 'HB23']"
Eddie Andrews,Iowa,['HF2']
Eddie Settle,North Carolina,['S49']
Edgar Flores,Nevada,['SB302']
Education,Iowa,"['HF348', 'HF616', 'HF620', 'HSB222', 'SF482', 'SF496', 'HF180', 'HF180']"
Education,Kansas,"['HB2238', 'SB207']"
Education & Employment Committee,Florida,"['H1069', 'H1069']"
Education Committee,Idaho,['S1100']
Education Pre-K -12,Florida,['S1320']
Education Quality Subcommittee,Florida,"['H1069', 'H1069']"
Edward Durr,New Jersey,"['S2648', 'S3076', 'S585', 'S589']"
Edward Jackson,Tennessee,"['SB0001', 'SB0003']"
Edward Thomson,New Jersey,['A3883']
Elaine Davis,Tennessee,"['HB0001', 'HB0009', 'HB0571']"
Elaine Gannon,Missouri,"['SB39', 'SB49']"
Elaine Morgan,Rhode Island,"['S0391', 'S0487']"
Elaine Price,Idaho,['H0071']
Elias Coop-Gonzalez,West Virginia,"['HB2007', 'HB3503']"
Elise Stefanik,US,"['HB734', 'HB5']"
Elizabeth May,South Dakota,"['HB1116', 'HB1125', 'HB1208', 'HB1080']"
Ellen Campbell,Virginia,['HB1707']
Ellen Troxclair,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164', 'HB888', 'HB3883']"
Ember Oakley,Wyoming,['HB0187']
Emily Brewer,Virginia,['HB1387']
Emily Callaway,Kentucky,"['HB470', 'HB173', 'HB177']"
Emily McIntire,Oregon,['HB2186']
Eric Brooks,West Virginia,"['HB2007', 'HB3097']"
Eric Crawford,US,"['HB734', 'HB5']"
Eric Lucero,Minnesota,"['SF311', 'SF933']"
Eric Tarr,West Virginia,['SB103']
Erik Peterson,New Jersey,"['A1418', 'A1630', 'A4042']"
Erin Grall,Florida,['S1674']
Erin Houchin,US,"['HB734', 'HB5']"
Ernest Bailes,Texas,['HB23']
Ernest Gonzales,US,['HB5']
Ernie Otten,South Dakota,['HB1080']
Esther Helton-Haynes,Tennessee,['HB0001']
Evan Vickers,Utah,['HB0329']
Evie Brennan,Wyoming,['SF0111']
Federal and State Affairs,Kansas,"['SB233', 'HB2404', 'HB2427', 'SB149', 'SB201', 'SB224', 'SB255', 'SB291']"
Felicia Rabourn,Kentucky,"['HB120', 'HB177']"
Ferrell Haile,Tennessee,"['SB0001', 'SB0003', 'SB0466']"
Forrest Chadwick,Wyoming,['SF0111']
Four Price,Texas,['HB23']
Frances Cavenaugh,Arkansas,['SB294']
Frank Niceley,Tennessee,['SB0003']
Frank Sossamon,North Carolina,['H43']
Fred Deutsch,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Fred Shanks,Mississippi,"['HB1127', 'HB1480']"
Frederick Frazier,Texas,"['HB1686', 'HB23', 'HB3164']"
Garland Barr,US,['HB734']
Garret Graves,US,['HB5']
Gary Boswell,Kentucky,"['SB115', 'SB150', 'SB102']"
Gary Brewer,South Carolina,['H3197']
Gary Byrne,Indiana,"['HB1608', 'SB0480', 'SB0351', 'SB0413']"
Gary Click,Ohio,"['HB68', 'HB6']"
Gary Gates,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164']"
Gary Howell,West Virginia,['HB3176']
Gary Stubblefield,Arkansas,"['SB199', 'SB294', 'SB43', 'HB1615']"
Gary Vandeaver,Texas,"['HB1686', 'HB23', 'HB3164']"
Geanie Morrison,Texas,"['HB1686', 'HB23']"
Gene Newman,Mississippi,['HB1125']
Geno Chiarelli,West Virginia,"['HB2007', 'HB2923', 'HB2972', 'HB2998', 'HB3001']"
Geoff Foster,West Virginia,"['HB2007', 'HB3097']"
George Burns,Oklahoma,"['SB129', 'SB613', 'SB131', 'SB250', 'SB251', 'SB252', 'SB30']"
George Campsen,South Carolina,['S0234']
George Cleveland,North Carolina,['H43']
George Santos,US,"['HB734', 'HR115', 'HB5']"
George Wise,Kentucky,['SB150']
Gerard Scharfenberger,New Jersey,"['A1418', 'A1630']"
Gex Williams,Kentucky,"['SB115', 'SB150', 'SB102']"
Gil Gatch,South Carolina,['H3197']
Ginny Ehrhart,Georgia,['HB653']
Gino Bulso,Tennessee,"['HB0001', 'HB0009', 'HB0239', 'HB0306', 'HB0878']"
Giovanni Capriglione,Texas,"['HB1686', 'HB23', 'HB3164']"
Glenn Grothman,US,"['HB1276', 'HB1399', 'HB5']"
Glenn Gruenhagen,Minnesota,"['SF311', 'SF933']"
Glenn Rogers,Texas,"['HB1686', 'HB23', 'HB888']"
Glenn Thompson,US,['HB5']
Glenneda Zuiderveld,Idaho,['H0071']
Gordon Rogers,Rhode Island,['S0487']
Grant Hodges,Arkansas,['SB294']
Greg Bonnen,Texas,"['HB1686', 'HB23', 'HB4378']"
Greg Dolezal,Georgia,['SB141']
Greg Murphy,US,['HB734']
Greg Steube,US,"['HB734', 'HR115', 'HB1399', 'HB5', 'HB985']"
Greg Vital,Tennessee,"['HB0001', 'HB0009']"
Greg Walker,Indiana,['SB0480']
